segment,start_time_s,end_time_s,wps_manual,wps_asr,diff
0,0,62,0.0,0.11989247311827957,0.11989247311827957
1,62,72,1.8,0.21333333333333337,-1.5866666666666667
2,72,112,0.0,0.0,0.0
3,112,661,1.0856102003643,0.5227686703096539,-0.5628415300546461
4,661,696,0.0,0.3666666666666667,0.3666666666666667
5,696,830,2.56716417910448,1.5442786069651742,-1.022885572139306
6,830,995,2.69090909090909,2.0185858585858587,-0.6723232323232313
7,995,1213,2.38073394495413,1.8145259938837923,-0.5662079510703375
8,1213,1443,2.88260869565217,1.128695652173913,-1.7539130434782568
9,1443,1505,0.0,0.43225806451612897,0.43225806451612897
10,1505,1561,2.67857142857143,0.8660714285714286,-1.8125000000000016
11,1561,1655,2.17021276595745,0.8088652482269502,-1.3613475177305001
12,1655,1713,2.56896551724138,0.9287356321839081,-1.640229885057472
13,1713,1847,1.8134328358209,1.5992537313432833,-0.21417910447761668
14,1847,2142,2.52881355932203,2.0618079096045197,-0.46700564971751035
15,2142,2183,0.536585365853659,0.20162601626016258,-0.33495934959349644
16,2183,2293,0.0,0.21484848484848482,0.21484848484848482
17,2293,2370,2.23376623376623,2.0701298701298705,-0.16363636363635958
18,2370,2407,2.43243243243243,1.226126126126126,-1.2063063063063038
19,2407,2525,2.13559322033898,1.2522598870056494,-0.8833333333333306
20,2525,2662,2.27737226277372,1.5462287104622872,-0.7311435523114327
21,2662,2696,0.0,0.5901960784313727,0.5901960784313727
22,2696,2809,1.39823008849558,1.078466076696165,-0.31976401179941516
23,2809,3016,1.51207729468599,1.2138486312399355,-0.2982286634460545
24,3016,3060,2.22727272727273,1.4893939393939393,-0.7378787878787909
25,3060,3237,2.14124293785311,2.0896421845574387,-0.051600753295671264
26,3237,3384,2.29251700680272,1.9600907029478454,-0.3324263038548745
27,3384,3482,1.57142857142857,1.135714285714286,-0.43571428571428417
28,3482,3832,1.64,1.3513333333333335,-0.2886666666666664
29,3832,4003,1.03508771929825,0.32202729044834305,-0.713060428849907
30,4003,4103,0.0,0.16700000000000007,0.16700000000000007
31,4103,4136,2.12121212121212,0.5464646464646464,-1.5747474747474737
32,4136,4251,0.626086956521739,0.6779710144927537,0.051884057971014697
33,4251,4398,3.46258503401361,2.0993197278911566,-1.3632653061224533
34,4398,4541,3.01398601398601,1.784382284382284,-1.229603729603726
35,4541,4576,1.05714285714286,0.15619047619047616,-0.9009523809523838
36,4576,4775,0.0,0.17370184254606366,0.17370184254606366
37,4775,5861,2.14917127071823,1.525230202578269,-0.6239410681399611
38,5861,6622,0.816031537450723,0.4770915462111257,-0.3389399912395973
39,6622,6641,0.0,0.6140350877192983,0.6140350877192983
40,6641,6770,2.42105263157895,0.6922480620155039,-1.728804569563446
41,6770,6961,0.198412698412698,0.3057591623036649,0.10734646389096689
42,6961,7720,2.43741765480896,1.8031181379007466,-0.6342995169082133
43,7720,8060,1.71764705882353,1.2442156862745097,-0.47343137254902024
44,8060,8109,0.0,0.4829931972789116,0.4829931972789116
45,8109,8203,2.04255319148936,0.575886524822695,-1.4666666666666652
46,8203,8352,0.0,0.2850111856823266,0.2850111856823266
47,8352,8591,1.20083682008368,0.6587168758716876,-0.5421199442119925
48,8591,8761,2.35882352941176,1.3790196078431372,-0.9798039215686227
49,8761,8953,1.6875,1.2954861111111111,-0.3920138888888889
50,8953,9115,1.65432098765432,1.3088477366255145,-0.34547325102880544
51,9115,9330,2.10232558139535,1.484186046511628,-0.618139534883722
52,9330,9394,0.0,0.4041666666666667,0.4041666666666667
53,9394,9465,1.25352112676056,0.663276836158192,-0.5902442906023679
54,9465,9493,0.0,,
