Filename,Total Duration (mm:ss),Segments (mm:ss)
LMI_20220826_1_0.0_8753.398625_mergedlength.json,145:53,15:55 - 16:37; 21:51 - 24:07; 26:10 - 26:12; 28:23 - 28:33; 68:53 - 69:16; 73:29 - 74:43; 136:52 - 138:12; 140:19 - 141:15
LMI_20220828_1_0.0_8755.0443125_mergedlength.json,145:55,15:56 - 16:38; 21:51 - 24:08; 26:10 - 26:12; 28:23 - 28:34; 68:54 - 69:16; 73:30 - 74:44; 136:53 - 138:14; 140:20 - 141:16
LMI_20230427_0_9774.48_final_mergedlength.json,162:54,17:47 - 18:34; 24:24 - 26:56; 29:13 - 29:15; 31:42 - 31:53; 76:55 - 77:20; 82:04 - 83:26; 152:50 - 154:20; 156:41 - 157:43
LMI_20230428_0_9152.85_final_mergedlength.json,152:32,16:39 - 17:23; 22:51 - 25:13; 27:22 - 27:23; 29:41 - 29:52; 72:01 - 72:25; 76:51 - 78:08; 143:07 - 144:31; 146:43 - 147:41
LMI_20230502_0_9443.910015000003_final_mergedlength.json,157:23,17:11 - 17:56; 23:34 - 26:02; 28:14 - 28:16; 30:37 - 30:49; 74:19 - 74:43; 79:17 - 80:37; 147:40 - 149:07; 151:23 - 152:23
LMI_20230503_0_9331.260030000001_final_mergedlength.json,155:31,16:58 - 17:43; 23:17 - 25:43; 27:54 - 27:55; 30:15 - 30:27; 73:26 - 73:50; 78:21 - 79:39; 145:54 - 147:20; 149:34 - 150:34
LMI_20230504_0_9333.569985_final_mergedlength.json,155:33,16:59 - 17:44; 23:18 - 25:43; 27:54 - 27:56; 30:16 - 30:27; 73:27 - 73:51; 78:22 - 79:40; 145:56 - 147:22; 149:37 - 150:36
LMI_20230505_0_9338.91_final_mergedlength.json,155:38,16:59 - 17:44; 23:18 - 25:44; 27:55 - 27:57; 30:17 - 30:28; 73:29 - 73:54; 78:24 - 79:43; 146:01 - 147:27; 149:42 - 150:41
LMI_20230509_0_9452.16_final_mergedlength.json,157:32,17:12 - 17:57; 23:35 - 26:03; 28:15 - 28:17; 30:39 - 30:50; 74:23 - 74:47; 79:21 - 80:41; 147:48 - 149:14; 151:31 - 152:31
LMI_20230510_0_9505.769999999999_final_mergedlength.json,158:25,17:18 - 18:03; 23:43 - 26:12; 28:25 - 28:27; 30:49 - 31:01; 74:48 - 75:13; 79:49 - 81:08; 148:38 - 150:05; 152:22 - 153:23
LMI_20230511_0_9445.050000000001_final_mergedlength.json,157:25,17:11 - 17:56; 23:34 - 26:02; 28:14 - 28:16; 30:38 - 30:49; 74:19 - 74:44; 79:18 - 80:37; 147:41 - 149:08; 151:24 - 152:24
LMI_20230512_0_9503.699999999999_final_mergedlength.json,158:23,17:17 - 18:03; 23:43 - 26:11; 28:24 - 28:26; 30:49 - 31:00; 74:47 - 75:12; 79:47 - 81:07; 148:36 - 150:03; 152:20 - 153:21
LMI_20230513_0_9451.019984999999_final_mergedlength.json,157:31,17:12 - 17:57; 23:35 - 26:03; 28:15 - 28:17; 30:39 - 30:50; 74:22 - 74:47; 79:21 - 80:40; 147:46 - 149:13; 151:29 - 152:30
