file,duration (s),mean,std,min,max,median,p25,p75,count [0–1[,perc [0–1[,count [1–2[,perc [1–2[,count [2–3[,perc [2–3[,count [3–5],perc [3–5]
LMI_20230427_0_9774.48_final_mergedlength.json,9163.56,1.08,0.8,0.0,3.53,1.07,0.34,1.71,139684,47.64,106920,36.46,45140,15.39,1490,0.51
LMI_20230428_0_9152.85_final_mergedlength.json,8580.78,1.12,0.82,0.0,3.68,1.08,0.38,1.74,129935,47.32,95180,34.66,46920,17.09,2550,0.93
LMI_20230512_0_9503.699999999999_final_mergedlength.json,8909.69,1.14,0.83,0.0,3.44,1.12,0.34,1.84,131260,46.04,100640,35.3,51190,17.95,2020,0.71
LMI_20230504_0_9333.569985_final_mergedlength.json,8750.22,1.16,0.81,0.0,3.62,1.18,0.43,1.84,124227,44.37,103410,36.93,50590,18.07,1780,0.64
LMI_20230510_0_9505.769999999999_final_mergedlength.json,8911.66,1.16,0.83,0.0,3.4,1.16,0.38,1.81,126223,44.26,106510,37.35,50750,17.8,1690,0.59
LMI_20230511_0_9445.050000000001_final_mergedlength.json,8854.72,1.16,0.82,0.0,3.63,1.16,0.39,1.83,127481,44.99,104090,36.74,50340,17.77,1440,0.51
LMI_20230513_0_9451.019984999999_final_mergedlength.json,8860.31,1.16,0.84,0.0,3.88,1.15,0.36,1.85,130490,46.02,97540,34.4,52860,18.64,2640,0.93
LMI_20230509_0_9452.16_final_mergedlength.json,8861.38,1.17,0.83,0.0,3.47,1.16,0.41,1.84,127404,44.93,102260,36.06,51890,18.3,2010,0.71
LMI_20230502_0_9443.910015000003_final_mergedlength.json,8853.66,1.18,0.86,0.0,3.6,1.15,0.38,1.88,125887,44.43,97120,34.28,57190,20.19,3120,1.1
LMI_20230503_0_9331.260030000001_final_mergedlength.json,8748.03,1.18,0.81,0.0,3.74,1.19,0.44,1.84,122227,43.66,102830,36.73,53710,19.19,1170,0.42
LMI_20230505_0_9338.91_final_mergedlength.json,8755.22,1.19,0.81,0.0,3.4,1.22,0.47,1.84,120047,42.85,106340,37.96,52260,18.65,1520,0.54
LMI_20220828_1_0.0_8755.0443125_mergedlength.json,8207.84,1.53,0.92,0.0,4.11,1.58,0.77,2.19,85291,32.47,89440,34.05,74520,28.37,13400,5.1
LMI_20220826_1_0.0_8753.398625_mergedlength.json,8206.28,1.55,0.9,0.0,4.0,1.61,0.81,2.24,79961,30.45,93290,35.53,76530,29.14,12820,4.88
